1005,	 "(42.99548, -74.3346)",	 "Thu Jan 01 09:00:00 UTC 2015",	 "false",	 "Grandma Millie''s Bakery",	 "160 County Highway 153, Johnstown, NY 12095",	 "1420102800446",	 "",	 "",	 ""
1005,	 "(42.0396, -74.1154)",	 "Mon Jan 26 10:13:11 UTC 2015",	 "false",	 "Catskill Mountain Pizza",	 "51 Mill Hill Rd, Woodstock, NY 12498",	 "1422267191446",	 "4 of 5 stars",	 "Taste Explosion",	 "Catskill Mountain Pizza churns out amazing pizza. My family and I needed a down and dirty dinner night and it was the perfect place. Our son amused himself with the pinball machine and retro video games (Pac Man and Space Invaders) and we enjoyed some beer and wine. The Margarita Pizza was perfection--warm and cheesy and the flavors all balanced..."
1005,	 "(42.902, -73.9051)",	 "Tue Jan 27 09:00:00 UTC 2015",	 "false",	 "Pizza Works",	 "722 Saratoga Rd, Burnt Hills, NY 12027",	 "1422349200446",	 "5 of 5 stars",	 "Love pizza works",	 "We had a huge group of 13+. We waited a bit but service was fast and efficient and the pizza and caprai salad were FABULOUS. All 13 were Very happy. How often does that happen? Can''t wait to eat at PIZZA WORK again"
1005,	 "(42.8989, -73.9085)",	 "Tue Jan 27 10:05:02 UTC 2015",	 "false",	 "Pig and Whistle",	 "Saratoga Rd, Glenville, NY",	 "1422353102446",	 "3 of 5 stars",	 "It''s improving.....",	 "I''ve been here a few times and each time the service and the food has been better. I''m a local and I like to support local businesses but so far, this one is not an immediate thought if I''m thinking dinner. They''ve got the basics but if you''re looking for any type of WOW factor or want to go somewhere..."
1005,	 "(42.8989, -73.9084)",	 "Tue Jan 27 12:05:09 UTC 2015",	 "false",	 "Pig ''n Whistle at the Grove",	 "654 Saratoga Road, Burnt Hills, NY 12027",	 "1422360309446",	 "3 of 5 stars",	 "Good food - service, not so much ...",	 "We arrived at 5:45 PM on a Saturday night. The parking lot was pretty full, but the tables in the restaurant were only about half full. While we stood at the door for about five minutes waiting to be acknowledged/seated, we noticed the board with specials was blank. We finally got seated at the same time as another couple, and..."
1005,	 "(42.9001, -73.9069)",	 "Tue Jan 27 13:07:53 UTC 2015",	 "false",	 "Creekside Cafe and Coffee House",	 "658 Route 50, Glenville, New York 12302, Glenville, NY 12302",	 "1422364073446",	 "5 of 5 stars",	 "Best coffee and yummy food",	 "I live right near Creekside so my family is there a lot. The best coffee you can get hands down. My daughter is a big tea drinker and they had a great selection for her, the young man behind the counter even gave her a little hit of tangerine to make it sweeter.The staff and owners are super friendly..."
1005,	 "(42.7601, -74.246)",	 "Wed Jan 28 09:00:00 UTC 2015",	 "false",	 "Hillview Tavern",	 "4000 State Highway 30, Esperance, NY",	 "1422435600446",	 "3 of 5 stars",	 "Hanging with the locals",	 "What to say about the Hillview... It might not look like much from the outside, and it''s small and dark when you''re inside, but that shouldn''t stop you. Get a local coupon for buy-one-get-one meals on Wednesday. Thursday special is 8-cut pizza and a dozen wings for $12. Lots of sandwiches on the menu along with nightly specials. Nice burgers...."
1005,	 "(42.6815, -74.4705)",	 "Thu Jan 29 09:00:00 UTC 2015",	 "false",	 "Little Italy Pizza & Pasta",	 "115 Plaza Lane, Cobleskill, NY 12043",	 "1422522000446",	 "5 of 5 stars",	 "Very good italian food - excellent",	 "Portions are very large - we suggest splitting the portions. This restaurant is run by Italians and it reminds us of some of the dishes we had when we were is Italy."
1005,	 "(42.68054, -74.4712)",	 "Thu Jan 29 10:02:30 UTC 2015",	 "false",	 "Rubbin'' Butts Bar-B-Q",	 "848 East Main Street, Cobleskill, NY 12043",	 "1422525750446",	 "5 of 5 stars",	 "Delicious Food and Great Host",	 "The good was great and the BBQ sauces at the table are equally as good. The women working behind the counter was very nice and hospitable. I would recommend this to anyone who enjoys BBQ and a fine host."
1005,	 "(42.6812, -74.4742)",	 "Thu Jan 29 11:06:46 UTC 2015",	 "false",	 "Cobleskill Diner",	 "Cobleskill Diner Campus Driv, Cobleskill, NY 12043",	 "1422529606446",	 "4 of 5 stars",	 "Clean, fast friendly service, and good food.",	 "Breakfast all day. Prices very reasonable. We are camping here while my husband turkey hunts. I do cook in the RV, but there are times to eat somewhere else. Cobleskill Diner is always our choice."
1005,	 "(42.6796, -74.4745)",	 "Thu Jan 29 12:11:03 UTC 2015",	 "false",	 "Taco Bell / KFC",	 "776 E Main St, Cobleskill, NY 12043",	 "1422533463446",	 "4 of 5 stars",	 "Very good for fast food",	 "This place is better than many of the sit down restaurants in Cobleskill. Better than average fast food."
1005,	 "(42.68076, -74.4731)",	 "Thu Jan 29 13:13:41 UTC 2015",	 "false",	 "Red Apple Buffet",	 "813 E Main St, Ste 2, Cobleskill, NY 12043-5011",	 "1422537221446",	 "5 of 5 stars",	 "Best Chinese Buffet in NYS that I have ever been to!",	 "I think I read a couple of reviews that said this place was dirty. Even though I had been here once before, I decided to go in and check for cleanliness before my friend and I committed to eating lunch there. I didn''t see anything suspicious or unclean, so I gave it the thumbs up and we went in. The..."
1005,	 "(42.6815, -74.4705)",	 "Thu Jan 29 14:17:00 UTC 2015",	 "false",	 "Fernando''s",	 "115 Plaza Lane, Ste 4, Cobleskill, NY",	 "1422541020446",	 "4 of 5 stars",	 "Upscale Mexican/Spanish cuisine",	 "Nice place for a date. You are paying for having a nicer place to dine, indoors and out. Not your typical strip-mall ambiance. The food is good but not exceptional."
1005,	 "(42.94317, -74.1837)",	 "Fri Jan 30 09:00:00 UTC 2015",	 "false",	 "Bottisti''s Pizzeria",	 "2 Van Derveer St, Amsterdam, NY 12010-3712",	 "1422608400446",	 "5 of 5 stars",	 "Pizza",	 "Excellent service for delivery and Gay & Bruce still have that Herm touch! Love these people! Great food...always!"
1005,	 "(42.93248, -74.18709)",	 "Fri Jan 30 10:20:58 UTC 2015",	 "false",	 "Riverlink Cafe",	 "1 Front Street, Amsterdam, NY",	 "1422613258446",	 "",	 "",	 ""
1005,	 "(42.93868, -74.1881)",	 "Fri Jan 30 11:36:40 UTC 2015",	 "false",	 "Country Time Deli",	 "RR 30, Amsterdam, NY 12010",	 "1422617800446",	 "5 of 5 stars",	 "Great Deli",	 "Country Time Deli has great sandwiches they make them while you wait - salads are good too and some times they have home made pies from Smith''s also have daily specials and pizza."
1005,	 "(42.93879, -74.19202)",	 "Fri Jan 30 12:42:00 UTC 2015",	 "false",	 "Emmy Lou''s",	 "2 Chuctununda St, Amsterdam, NY 12010-4405",	 "1422621720446",	 "5 of 5 stars",	 "You gotta go here!!!!!!",	 "I personally love Emma Lou''s, It is wonderful eatery! The meals are the best, all the meals are delicious home cooked. The atmosphere is so great along with all of the people that work there. Emma Lous is a fun happy place!!!!!!!"
1005,	 "(42.9369, -74.1933)",	 "Fri Jan 30 14:45:25 UTC 2015",	 "false",	 "Cp S Family Restrnt",	 "10 E Main St, Amsterdam, NY 12010-4501",	 "1422629125446",	 "5 of 5 stars",	 "Birthday",	 "A great time as usual. Food excellent and service: iimpeccable!Service was instant and seating was quite enjoyable! A great place for a family to sit & eat!"
1005,	 "(42.9367, -74.192)",	 "Fri Jan 30 15:46:43 UTC 2015",	 "false",	 "Camacho''s Spanish Takeout",	 "38 E Main St, Amsterdam, NY 12010",	 "1422632803446",	 "",	 "",	 ""
1005,	 "(42.9368, -74.1926)",	 "Fri Jan 30 16:47:17 UTC 2015",	 "false",	 "Mike''s Italian Pizzeria",	 "32 E Main St, Amsterdam, NY 12010-4501",	 "1422636437446",	 "",	 "",	 ""
1005,	 "(42.93447, -74.1969)",	 "Fri Jan 30 17:59:48 UTC 2015",	 "false",	 "L''Ultimo Restaurant",	 "Bridge St, Amsterdam, NY 12010",	 "1422640788446",	 "5 of 5 stars",	 "A Fine Retaurant has come to Amsterdam''s Southside!!",	 "Had a great meal at this establishment and enjoyed everything. All ingredients were fresh and very tasty. Ordered three different appetizer for our table and they were outstanding. Many choices for entrees and the special of the evening did not disappoint. Beer, wine and soda are your choices and the wine selection was very good. Service very good and very..."
1005,	 "(42.9345, -74.2009)",	 "Fri Jan 30 20:05:05 UTC 2015",	 "false",	 "Shorty''s Southside",	 "51 Broad St, Amsterdam, NY 12010-5530",	 "1422648305446",	 "2 of 5 stars",	 "ugh",	 "Once it changed hands, it went downhill really fast. menu choices are terrible and food ain''t so hot either. I won''t be back."
1005,	 "(42.93447, -74.1969)",	 "Sat Jan 31 09:00:00 UTC 2015",	 "false",	 "L''Ultimo Restaurant",	 "Bridge St, Amsterdam, NY 12010",	 "1422694800446",	 "5 of 5 stars",	 "Excellent italian eatery",	 "After hearing several good reports about this place, we stopped for dinner. I called ahead because it''s not big and was told reservations are a good idea. It was a weeknight and not busy. They have a small bar and maybe 8 tables. They serve only beer and wine and are only open for dinner, not lunch. The 2 of..."
1005,	 "(42.9369, -74.1933)",	 "Sat Jan 31 11:11:54 UTC 2015",	 "false",	 "Cp S Family Restrnt",	 "10 E Main St, Amsterdam, NY 12010-4501",	 "1422702714446",	 "5 of 5 stars",	 "Birthday",	 "A great time as usual. Food excellent and service: iimpeccable!Service was instant and seating was quite enjoyable! A great place for a family to sit & eat!"
1005,	 "(42.9367, -74.192)",	 "Sat Jan 31 12:13:12 UTC 2015",	 "false",	 "Camacho''s Spanish Takeout",	 "38 E Main St, Amsterdam, NY 12010",	 "1422706392446",	 "",	 "",	 ""
1005,	 "(42.9381, -74.19379)",	 "Sat Jan 31 13:15:59 UTC 2015",	 "false",	 "Pasqualli''s Italian Restaurant",	 "10 Market St # 64, Amsterdam, NY 12010",	 "1422710159446",	 "3 of 5 stars",	 "Food was good, staff was personable. Too bad they had buckets on the tables to catch the rain!!",	 "The restaurant is a separate business to the hotel and the bar. It is unfortunate that the owner of this restaurant has to put up with the disrepair of this hotel. It is going downhill fast."
1005,	 "(42.9368, -74.1926)",	 "Sat Jan 31 15:18:09 UTC 2015",	 "false",	 "Mike''s Italian Pizzeria",	 "32 E Main St, Amsterdam, NY 12010-4501",	 "1422717489446",	 "",	 "",	 ""
1005,	 "(42.6641, -74.311)",	 "Sun Feb 01 09:00:00 UTC 2015",	 "false",	 "The Country Cafe",	 "293 Main Street, Schoharie, NY",	 "1422781200446",	 "5 of 5 stars",	 "Great Service and Catfish",	 "Visted multiple times with large group of family. They''re always very sweet as if we were part of their family. The catfish filets and most the side are very good. Pork chops are a favorite of almost everyone in my family."
1005,	 "(42.6642, -74.3116)",	 "Sun Feb 01 11:01:06 UTC 2015",	 "false",	 "Parrott House",	 "294 Main St, Schoharie, NY 12157",	 "1422788466446",	 "5 of 5 stars",	 "Historical",	 "Great soup and dessert. Wonderful atmosphere feels like the old west with great service and a view into Main Street. Spaceous dining room and very nice employees."
